Title,Etapa,Notas,Fecha de entrega,Asignado a,Files,Categoría,Subitems,Checklists,Comments
Medidas de biodiversidad en ríos,To do,,12/31/2020,Evelyn Habit,,Biodiversidad de agua dulce,,,
Tasas de visitación mediante celulares,To do,,01/30/2021,Horacio Samaniego,,Socioecología,,,
inVEST flickr,To do,,02/28/2021,María José Martínez-Harms,,Socioecología,,,
Entrevista guardaparques,To do,,01/06/2021,María José Martínez-Harms,,Socioecología,,,
Systematic conservation Planning,To do,,02/28/2021,Derek Corcoran,,Priorización de conservación,,,
Systematic conservation Planning,To do,,02/28/2021,Derek Corcoran,,Priorización de conservación,,,
Organización Scoping meeting,To do,,11/19/2020,"Pablo Marquet, Derek Corcoran",,General,,,
Modelación de especies de plantas y vertebrados,In Progress,,11/30/2020,Derek Corcoran,,Priorización de conservación,Systematic conservation Planning,,
Modelación de especies de plantas y vertebrados,In Progress,,11/30/2020,Derek Corcoran,,Priorización de conservación,Systematic conservation Planning,,
Análisis de Servicios ecosistémicos,To do,,02/28/2021,María José Martínez-Harms,,Socioecología,,,
M. regimen de fuego,To do,,01/15/2021,"Patricio Pliscoff, Taryn Fuentes-Castillo",,Ecosistemas,,,
Seleccion de GCMs,Done,"CESM-BGC, GFDL-ESM2G, IPSL-CM5A-LR, MIROC-ESM-CHEM y MPI-ESM-LR",11/06/2020,Derek Corcoran,GCM_Selection.png,Revisión Inicial,"M. regimen de fuego, Modelo Hidrológico VIC, Datos descomposición y suelos",,
Modelo Hidrológico VIC,To do,,03/01/2021,Sebastian Vicuña,,Hidrología,,,
Datos descomposición y suelos,To do,,12/15/2020,Aurora Gaxiola,,Ecosistemas,Modelación de especies de plantas y vertebrados,,
Planificación,In Progress,,11/27/2020,"Pablo Marquet, Derek Corcoran",,General,,,
Revisión sistemática,In Progress,,11/27/2020,Giorgia Graells,,Revisión Inicial,,,
